time,l_per,l_abs,b_per,b_abs
1725022450,23685,13.3826,9905,9.0894
1725022515,23685,13.3826,9905,9.0894
1725022529,23813,13.4550,9985,9.1628
1725022668,23840,13.4702,10003,9.1793
1725022902,23840,13.4702,10003,9.1793
1725023003,23840,13.4702,10003,9.1793
1725023236,23840,13.4702,10003,9.1793
1725023309,23840,13.4702,10003,9.1793
1725023406,23862,13.4827,10025,9.1995
1725023473,23862,13.4827,10025,9.1995
1725023484,23862,13.4827,10025,9.1995
1725023742,23862,13.4827,10025,9.1995
1725023755,23862,13.4827,10025,9.1995
1725023822,23864,13.4838,10027,9.2014
1725023890,23864,13.4838,10027,9.2014
1725023918,23864,13.4838,10027,9.2014
1725024335,23921,13.5160,10067,9.2381
1725024447,23941,13.5273,10078,9.2482
1725024563,23941,13.5273,10078,9.2482
1725024665,23970,13.5437,10094,9.2628
1725024686,23970,13.5437,10094,9.2628
1725025745,23970,13.5437,10094,9.2628
1725025870,23970,13.5437,10094,9.2628
1725026027,23978,13.5482,10102,9.2702
1725026119,23978,13.5482,10102,9.2702
1725026376,23978,13.5482,10102,9.2702
1725026466,23980,13.5493,10103,9.2711
1725026479,23980,13.5493,10103,9.2711
1725026580,23980,13.5493,10103,9.2711
1725026596,23980,13.5493,10103,9.2711
1725026704,23980,13.5493,10103,9.2711
1725026735,24417,13.7962,10238,9.3950
1725026797,24417,13.7962,10238,9.3950
1725026821,24417,13.7962,10238,9.3950
1725026958,24417,13.7962,10238,9.3950
1725027018,24417,13.7962,10238,9.3950
1725027468,24422,13.7991,10242,9.3987
1725027628,24422,13.7991,10242,9.3987
1725027993,24422,13.7991,10242,9.3987
1725028140,24425,13.8008,10245,9.4014
1725028359,24425,13.8008,10245,9.4014
1725028423,24425,13.8008,10245,9.4014
1725028443,24425,13.8008,10245,9.4014
1725028542,24425,13.8008,10245,9.4014
1725028614,24425,13.8008,10245,9.4014
1725028626,24425,13.8008,10245,9.4014
1725028695,24427,13.8019,10248,9.4042
1725029061,24427,13.8019,10248,9.4042
1725029159,24427,13.8019,10248,9.4042
1725029167,24427,13.8019,10248,9.4042
1725029186,24427,13.8019,10248,9.4042
1725029312,24427,13.8019,10248,9.4042
1725029453,24427,13.8019,10248,9.4042
1725029618,24427,13.8019,10248,9.4042
1725029906,24427,13.8019,10248,9.4042
1725030235,24427,13.8019,10248,9.4042
1725031076,24427,13.8019,10248,9.4042
1725031461,24427,13.8019,10248,9.4042
1725031533,24427,13.8019,10248,9.4042
1725032183,24427,13.8019,10248,9.4042
