time,l_per,l_abs,b_per,b_abs
1725605558,7615,31.7742,4011,20.3852
1725605569,7615,31.7742,4011,20.3852
1725605634,7615,31.7742,4011,20.3852
1725605661,7615,31.7742,4011,20.3852
1725605719,7615,31.7742,4011,20.3852
1725605924,7615,31.7742,4012,20.3903
1725605992,7615,31.7742,4012,20.3903
1725605998,7615,31.7742,4012,20.3903
1725606117,7615,31.7742,4012,20.3903
1725606122,7615,31.7742,4012,20.3903
1725606127,7615,31.7742,4012,20.3903
1725606131,7615,31.7742,4012,20.3903
1725606352,7624,31.8117,4025,20.4564
1725606357,7624,31.8117,4025,20.4564
1725606366,7624,31.8117,4025,20.4564
1725606382,7624,31.8117,4025,20.4564
1725606664,7638,31.8701,4030,20.4818
1725606670,7646,31.9035,4033,20.4971
1725606886,7651,31.9244,4034,20.5021
1725607255,7651,31.9244,4034,20.5021
1725607260,7651,31.9244,4034,20.5021
1725607512,7692,32.0955,4055,20.6089
1725607630,7700,32.1288,4062,20.6444
1725608143,7706,32.1539,4070,20.6851
1725608273,7706,32.1539,4070,20.6851
1725608412,7706,32.1539,4071,20.6902
1725608522,7706,32.1539,4071,20.6902
1725609499,7708,32.1622,4074,20.7054
1725610209,7708,32.1622,4074,20.7054
1725610276,7708,32.1622,4074,20.7054
1725610642,7708,32.1622,4074,20.7054
1725610726,7709,32.1664,4075,20.7105
1725611110,7709,32.1664,4075,20.7105
1725612371,7709,32.1664,4075,20.7105
1725612375,7709,32.1664,4075,20.7105
1725612381,7709,32.1664,4075,20.7105
1725613216,7709,32.1664,4075,20.7105
1725613220,7709,32.1664,4075,20.7105
1725613286,7709,32.1664,4075,20.7105
1725613471,7709,32.1664,4078,20.7258
1725614250,7709,32.1664,4078,20.7258
1725614648,7742,32.3041,4095,20.8122
1725614807,7869,32.8340,4127,20.9748
1725614821,7869,32.8340,4129,20.9850
1725614887,7869,32.8340,4132,21.0002
1725614934,7869,32.8340,4132,21.0002
1725617100,7869,32.8340,4135,21.0155
1725617430,7869,32.8340,4135,21.0155
1725617458,7869,32.8340,4135,21.0155
1725617710,7869,32.8340,4135,21.0155
1725617895,7869,32.8340,4135,21.0155
1725619353,7888,32.9133,4141,21.0459
1725619442,7888,32.9133,4141,21.0459
1725619515,7909,33.0009,4153,21.1069
1725619616,7953,33.1845,4187,21.2797
