time,l_per,l_abs,b_per,b_abs
1725605551,7615,31.7742,4011,20.3852
1725605563,7615,31.7742,4011,20.3852
1725605567,7615,31.7742,4011,20.3852
1725605580,7615,31.7742,4011,20.3852
1725605711,7615,31.7742,4011,20.3852
1725605850,7621,31.7992,4020,20.4310
1725606103,7621,31.7992,4020,20.4310
1725606108,7621,31.7992,4020,20.4310
1725606117,7621,31.7992,4020,20.4310
1725606598,7621,31.7992,4020,20.4310
1725606635,7630,31.8368,4033,20.4971
1725606658,7630,31.8368,4034,20.5021
1725606979,7638,31.8701,4041,20.5377
1725607045,7638,31.8701,4041,20.5377
1725607303,7638,31.8701,4041,20.5377
1725607372,7638,31.8701,4041,20.5377
1725607520,7646,31.9035,4044,20.5530
1725607879,7646,31.9035,4044,20.5530
1725607929,7646,31.9035,4044,20.5530
1725608116,7646,31.9035,4045,20.5580
1725608285,7690,32.0871,4079,20.7308
1725608530,7690,32.0871,4079,20.7308
1725608548,7690,32.0871,4079,20.7308
1725608730,7690,32.0871,4079,20.7308
1725608889,7694,32.1038,4081,20.7410
1725608894,7694,32.1038,4081,20.7410
1725609482,7694,32.1038,4081,20.7410
1725610107,7694,32.1038,4081,20.7410
1725610483,7694,32.1038,4081,20.7410
1725610800,7694,32.1038,4081,20.7410
1725610909,7694,32.1038,4081,20.7410
1725610923,7694,32.1038,4081,20.7410
1725611718,7694,32.1038,4081,20.7410
1725611776,7694,32.1038,4081,20.7410
1725612407,7713,32.1831,4087,20.7715
1725612487,7734,32.2707,4099,20.8325
1725612548,7734,32.2707,4099,20.8325
1725612553,7734,32.2707,4103,20.8528
1725612713,7735,32.2749,4104,20.8579
1725613417,7735,32.2749,4104,20.8579
1725613686,7735,32.2749,4104,20.8579
1725613695,7862,32.8048,4136,21.0205
1725613706,7881,32.8841,4142,21.0510
1725613840,7922,33.0552,4164,21.1628
1725613902,7922,33.0552,4164,21.1628
1725614908,7922,33.0552,4164,21.1628
1725614916,7922,33.0552,4164,21.1628
1725615334,7925,33.0677,4167,21.1781
1725616713,7925,33.0677,4167,21.1781
1725617724,7925,33.0677,4167,21.1781
1725618199,7925,33.0677,4167,21.1781
1725618271,7925,33.0677,4167,21.1781
1725619156,7925,33.0677,4169,21.1882
1725619430,7925,33.0677,4169,21.1882
1725620112,7925,33.0677,4169,21.1882
1725620518,7925,33.0677,4169,21.1882
1725620636,7925,33.0677,4169,21.1882
1725620922,7925,33.0677,4169,21.1882
1725621866,7925,33.0677,4169,21.1882
1725622028,7925,33.0677,4169,21.1882
1725622876,7925,33.0677,4169,21.1882
1725622893,7929,33.0844,4170,21.1933
1725624195,7929,33.0844,4170,21.1933
1725624201,7929,33.0844,4170,21.1933
1725624504,7929,33.0844,4170,21.1933
1725624875,7929,33.0844,4170,21.1933
1725625678,7929,33.0844,4170,21.1933
1725625980,7929,33.0844,4170,21.1933
1725625986,7929,33.0844,4170,21.1933
1725626098,7929,33.0844,4170,21.1933
1725627076,7931,33.0927,4173,21.2086
1725627105,7989,33.3347,4201,21.3509
1725628466,7989,33.3347,4201,21.3509
1725629046,7990,33.3389,4203,21.3610
1725629204,7990,33.3389,4203,21.3610
1725629250,7992,33.3472,4210,21.3966
1725629513,7992,33.3472,4210,21.3966
1725629699,7993,33.3514,4211,21.4017
1725629799,7993,33.3514,4211,21.4017
1725632674,7993,33.3514,4211,21.4017
1725634600,7993,33.3514,4211,21.4017
1725635546,7993,33.3514,4211,21.4017
1725637451,7993,33.3514,4211,21.4017
1725638729,8010,33.4223,4223,21.4627
1725639348,8010,33.4223,4223,21.4627
1725639553,8010,33.4223,4223,21.4627
1725642885,8010,33.4223,4223,21.4627
1725643218,8010,33.4223,4223,21.4627
1725643252,8010,33.4223,4225,21.4729
1725643331,8010,33.4223,4225,21.4729
1725645796,8010,33.4223,4228,21.4881
1725649607,8010,33.4223,4228,21.4881
1725649953,8010,33.4223,4228,21.4881
1725650826,8010,33.4223,4228,21.4881
1725651274,8010,33.4223,4228,21.4881
1725651393,8010,33.4223,4228,21.4881
1725651397,8050,33.5893,4248,21.5898
1725651401,8058,33.6226,4256,21.6304
1725651405,8064,33.6477,4262,21.6609
1725651410,8068,33.6644,4264,21.6711
1725651432,8068,33.6644,4264,21.6711
1725651473,8068,33.6644,4264,21.6711
1725651496,8068,33.6644,4264,21.6711
1725651754,8068,33.6644,4264,21.6711
1725652000,8068,33.6644,4264,21.6711
1725652005,8068,33.6644,4264,21.6711
1725652010,8068,33.6644,4264,21.6711
1725652019,8068,33.6644,4264,21.6711
1725652026,8068,33.6644,4264,21.6711
1725652042,8068,33.6644,4264,21.6711
1725652954,8069,33.6685,4268,21.6914
1725652958,8069,33.6685,4268,21.6914
1725652970,8069,33.6685,4268,21.6914
1725652998,8396,35.0330,4458,22.6570
